fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,101872,HDFC Dynamic Debt Fund - Growth Option,56.654540909090905,29.70890923196282
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101893,Kotak Money Market Scheme - (Growth),2755.0644622641507,109746.1207976952
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,101909,Tata Dynamic Bond Fund Regular Plan - Growth,25.91902727272727,8.29613998107438
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101932,SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option,24.281747727272727,13.120692720676653
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101934,SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,22.687090909090905,11.453828770371901
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101945,Tata Gilt Retirement Plan 28/2/25 Growth Option,22.436711363636363,7.3307031469163215
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101971,Aditya Birla Sun Life Money Manager Fund - Retail Growth,276.08833396226413,1144.32239574979
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101976,Aditya Birla Sun Life Money Manager Fund - Growth,224.0304849056604,752.9618715239232
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,101989,HDFC Medium Term Debt Fund -Growth Option,33.74946818181819,17.11262093671488
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101993,HDFC Money Market Fund - Growth Option,3110.7652509433965,1567517.6233952306
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,101996,HDFC Overnight Fund - Growth Option,2330.1260135593225,760039.7380318869
