fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,120482,JM Arbitrage Fund (Direct) - Growth Option,23.11364090909091,5.1353840928719015
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120484,JM Equity Hybrid Fund (Direct) - Growth Option,42.937990909090914,19.622540717190088
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120517,Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,698.0570454545455,9403.355670816112
Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,120524,Axis Triple Advantage Fund - Direct Plan - Growth Option,18.48938409090909,5.913527872246902
Invesco Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120531,Invesco India Gold Fund - Direct Plan- - Growth,10.184352272727274,4.135436837040289
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120546,Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,10.614961363636363,4.545859116461776
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120616,ICICI Prudential Regular Savings Fund - Direct Plan - Growth,39.32619772727273,35.802557547949384
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120674,UTI - Hybrid Equity Fund -Direct Plan - Growth,152.53620909090907,401.1437676090083
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120679,ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan - Growth,48.539797727272735,59.3040982211312
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,120684,ICICI Prudential Nifty Next 50 Index Fund - Direct Plan -  Growth,22.14105454545454,14.390065352933886
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120685,ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan -  Growth,11.245943181818184,4.762780295180786
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120700,ICICI Prudential Thematic Advantage Fund (FOF) - Direct Plan - Growth,63.81806428571429,69.10644016848639
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120702,ICICI Prudential Debt Management Fund (FOF) - Direct Plan - Growth,27.037338636363643,14.281768869643598
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120705,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Direct Plan,36.91489090909091,22.783295079462814
UTI Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,120716,UTI - NIFTY Index Fund-Growth Option- Direct,62.51914318181819,99.7756557924535
UTI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,120724,UTI CCF Investment Plan - Direct Plan - Growth Option,33.07900000000001,28.61593141772727
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,120760,UTI - Multi Asset Fund- Direct Plan - Growth Option,32.259325,11.409002975965908
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120779,UTI - Regular Savings Fund - Direct Plan - Growth Option,37.967586363636364,19.102707478450412
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,120795,UTI Arbitrage Fund - Direct Plan - Growth Option,23.504431818181818,6.430269040805784
Nippon India Mutual Fund,Interval Fund Schemes,Income,120798,Nippon India Yearly Interval Fund - Series 1 - Growth Plan - Growth Option,14.788277272727273,3.227164229938016
Nippon India Mutual Fund,Interval Fund Schemes,Income,120799,Nippon India Yearly Interval Fund - Series 1 - Direct Plan - Growth Plan - Growth Option,14.846484090909092,3.3400008408832638
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120819,Quant Absolute Fund-Growth Option-Direct Plan,121.30328409090907,281.1340767627014
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,120821,Quant Multi Asset Fund-GROWTH OPTION-Direct Plan,34.00170227272727,13.230916627040289
UTI Mutual Fund,IL&FS Mutual Fund,IDF,120877,UTI F I I F Series II -Quarterly Interval Plan - VII - Direct Plan - Growth Option,20.81213181818182,4.989758170805786
UTI Mutual Fund,IL&FS Mutual Fund,IDF,120903,UTI Fixed Income Interval Fund - Monthly Interval Plan II-Direct Plan - Growth Option,21.737634090909086,5.3722811167923545
UTI Mutual Fund,IL&FS Mutual Fund,IDF,120970,UTI - Fixed Income Interval Fund - Monthly Interval Plan  - Direct Plan - Growth Option,22.646774999999998,5.782948761420453
IDFC Mutual Fund,Interval Fund Schemes,Income,120984,IDFC YS Interval Fund - Series II-Regular Plan-Growth,14.805379545454544,3.2750536361725207
IDFC Mutual Fund,Interval Fund Schemes,Income,120986,IDFC YS Interval Fund - Series II-Direct Plan-Growth,14.918377272727275,3.4236822867561996
UTI Mutual Fund,IL&FS Mutual Fund,IDF,121034,UTI F I I F Series II -Quarterly Interval Plan - IV -Direct Plan - Growth Option,20.924225,5.067942466420454
UTI Mutual Fund,IL&FS Mutual Fund,IDF,121182,UTI F I I F Series II -Quarterly Interval Plan - V - Direct Plan - Growth Option,20.797211363636364,5.482937559643596
UTI Mutual Fund,IL&FS Mutual Fund,IDF,121413,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - III) - Direct Plan - Growth Option,22.837913636363634,6.816927471632232
UTI Mutual Fund,IL&FS Mutual Fund,IDF,121722,UTI F I I F Series II -Quarterly Interval Plan - VI-Direct Plan - Growth Option,20.907690909090913,5.6561128417355375
UTI Mutual Fund,IL&FS Mutual Fund,IDF,122165,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - I) -Direct Plan - Growth Option,23.09956136363636,6.481980584643594
UTI Mutual Fund,IL&FS Mutual Fund,IDF,122642,UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Direct Plan - Growth Option,21.992715909090908,5.653687224519627
Axis Mutual Fund,Close Ended Schemes,Income,122950,Axis Hybrid Fund - Series 5 (1346 Days) - Regular Plan - Growth,12.90555,0.35086787568181815
Axis Mutual Fund,Close Ended Schemes,Income,122951,Axis Hybrid Fund - Series 5 (1346 Days) - Direct Plan - Growth,13.452502272727271,0.6078700624948347
Axis Mutual Fund,Close Ended Schemes,Income,123063,Axis Hybrid Fund Series 6 (1324 Days) - Regular - Growth,13.236670454545452,0.444584527536157
Axis Mutual Fund,Close Ended Schemes,Income,123065,Axis Hybrid Fund Series 6 (1324 Days) - Direct - Growth,13.794586363636364,0.7607252061776861
HDFC Mutual Fund,Close Ended Schemes,Income,123401,HDFC FMP 1846D August 2013 (1)-Regular Option-Growth Option,14.596918181818184,3.0050773978512395
HDFC Mutual Fund,Close Ended Schemes,Income,123402,HDFC FMP 1846D August 2013 (1)-Direct Option-Growth Option,14.793427272727275,3.357225430165288
UTI Mutual Fund,IL&FS Mutual Fund,IDF,123646,UTI Fixed Income Interval Fund - Annual Interval Plan Series - I - Direct Plan - Growth Option,23.06360681818182,5.533627584271695
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,123651,ICICI Prudential Global Stable Equity Fund (FOF) - Growth,13.894651162790696,2.4198806922660894
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,123654,ICICI Prudential Global Stable Equity Fund (FOF) - Direct - Growth,14.375116279069767,3.1770156841535964
Axis Mutual Fund,Close Ended Schemes,Income,123978,Axis Hybrid Fund - Series 7 (1305 Days) - Regular Plan - Growth,13.207338636363637,0.47399202918904954
UTI Mutual Fund,IL&FS Mutual Fund,IDF,124596,UTI F I I F-Annual Interval Plan Series - II - Direct Plan - Growth Option,23.21288863636364,6.8373580032799595
UTI Mutual Fund,IL&FS Mutual Fund,IDF,125077,UTI Fixed Interval Income Fund (Annual Interval Fund)  Series III - Direct Plan - Growth Option,22.6825,6.302540302272728
Shriram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,125711,Shriram Hybrid Equity Fund- Direct Growth,15.301777272727271,3.5722061044834716
Shriram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,125713,Shriram Hybrid Equity Fund- Growth,14.883377272727271,2.758723848119835
UTI Mutual Fund,IL&FS Mutual Fund,IDF,125953,UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Direct Plan - Growth Option,21.688950000000002,5.781143299772726
UTI Mutual Fund,IL&FS Mutual Fund,IDF,126031,UTI Fixed Interval Income Fund (Annual Interval Plan) Series IV - Direct Plan - Growth Option,22.232097727272727,6.572445120676654
Invesco Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,126351,Invesco India Feeder - Invesco Pan European Equity Fund - Regular Plan - Growth Option,10.06053409090909,0.8859212836105373
Invesco Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,126353,Invesco India Feeder - Invesco Pan European Equity Fund - Direct Plan - Growth Option,10.494056818181816,1.118886286089876
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,126393,DSP Dynamic Asset Allocation Fund - Direct Plan - Growth,14.245354545454546,3.581694267479338
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,126394,DSP Dynamic Asset Allocation Fund - Regular Plan - Growth,13.714875,2.4774500550568175
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,127071,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth Direct,12.899020454545456,4.883858020717974
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,127073,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Growth,12.544822727272729,4.06719260266529
BOI AXA Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,127849,BOIAXAEQUITY DEBT REBALANCER FUND REGULAR PLAN  GROWTH,13.753161363636366,1.0306637505526863
BOI AXA Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN  GROWTH,14.004518181818183,1.2795762919421483
HDFC Mutual Fund,Close Ended Schemes,Income,128542,HDFC FMP 3360D March 2014 (1)-Regular Option-Growth Option,12.813081818181816,3.442420588305785
HDFC Mutual Fund,Close Ended Schemes,Income,128544,HDFC FMP 3360D March 2014 (1)-Direct Option-Growth Option,12.86266363636364,3.5488242418595046
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,129052,HDFC Arbitrage Fund Wholesale Plan Growth Option Direct Plan,12.880045454545455,1.789656270661157
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129065,HSBC Managed Solutions - Growth - Growth,15.547720454545448,4.833203098445248
Invesco Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129187,Invesco India Feeder - Invesco Global Equity Income Fund - Regular Plan - Growth,11.670918181818182,1.3543635496694213
Invesco Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129188,Invesco India Feeder - Invesco Global Equity Income Fund - Direct Plan - Growth,12.206904545454545,2.006246427706612
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129191,HSBC Managed Solutions - Moderate - Growth,14.98623181818182,3.9033533048966933
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129193,HSBC Managed Solutions - Moderate - Growth Direct,15.136852272727275,4.2153513538584715
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129195,HSBC Managed Solutions - Conservative - Growth,13.515270454545453,1.860281098899793
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129197,HSBC Managed Solutions - Conservative - Growth Direct,13.654459090909093,2.106888527417355
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129199,HSBC Managed Solutions - Growth - Dividend,15.547720454545448,4.833203098445248
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129200,HSBC Managed Solutions - Growth - Growth Direct,15.70655,5.171957777954545
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,129201,HSBC Managed Solutions - Growth - Dividend Direct,15.70655,5.171957777954545
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129438,Franklin India Feeder - Franklin European Growth Fund - Growth,9.143354545454548,0.6594086352066117
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129439,Franklin India Feeder - Franklin European Growth Fund - Dividend,9.143354545454548,0.6594086352066117
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129440,Franklin India Feeder - Franklin European Growth Fund - Direct - Growth,9.57065,0.7973652288636365
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,129441,Franklin India Feeder - Franklin European Growth Fund - Direct - Dividend,9.57065,0.7973652288636365
Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130205,Edelweiss Arbitrage Fund- Regular Plan- Growth Option,12.672438636363637,1.649993640552686
Edelweiss Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130206,Edelweiss Arbitrage Fund- Direct Plan- Growth Option,12.91193409090909,2.0937100977014467
L&T Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130446,L&T Arbitrage Opportunities Fund - Regular Plan - Growth,12.540795454545457,1.562336117252066
L&T Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130450,L&T Arbitrage Opportunities Fund - Direct Plan - Growth,12.809840909090907,1.966473497417355
DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,130492,DSP Global Allocation Fund - Regular Plan - Growth,11.630418181818182,1.4737007528512394
DSP Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,130493,DSP Global Allocation Fund - Direct Plan - Growth,11.791313636363638,1.7062099334504126
HDFC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,130533,HDFC Dynamic PE Ratio Fund of Funds - Regular Growth,16.369911363636362,4.5791640869163235
HDFC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,130543,HDFC Dynamic PE Ratio Fund of Funds - Direct Growth,17.035113636363636,5.938944182541321
Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130771,Axis Arbitrage Fund - Regular Plan - Growth,12.369931818181822,1.4757255071694217
Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,130773,Axis Arbitrage Fund - Direct Plan - Growth,12.721947727272726,2.010011067494835
