fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101162,Nippon India Multi Cap Fund-Growth Plan-Bonus Option,82.06378182,131.7674288
SBI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101169,SBI Magnum Children's Benefit Fund - Savings Plan - REGULAR PLAN - GROWTH,48.38396136,63.97443248
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,101185,LIC MF Liquid Fund-Regular Plan-Growth,3057.537946,118144.8062
Baroda Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101187,BARODA GILT FUND - Plan A - Growth Option,26.45526591,10.0342241
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101199,LIC MF Index Fund-Sensex Plan-Regular Plan-Growth,59.31377727,79.34343959
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101201,LIC MF Index Fund-Nifty Plan-Regular Plan-Growth,53.28117045,58.13240828
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,2810.207726,73738.11169
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101209,Taurus Largecap Equity Fund- Regular Plan - Growth Option,67.01090909,40.17350372
ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101228,ICICI Prudential Multicap Fund - Growth,245.4011364,1354.476669
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101232,Franklin India Short-Term Income Plan-Growth,3492.811745,153079.0807
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,2869.611789,113954.8682
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101262,Nippon India Power & Infra Fund-Growth Plan -Growth Option,88.89903864,263.9386395
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101263,Nippon India Power & Infra Fund-Growth Plan-Bonus Option,88.89903864,263.9386395
Principal Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,101265,Principal Hybrid Equity Fund-Growth,64.76772727,125.8577585
LIC Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101271,LIC MF Children's Gift Fund-Regular Plan-Growth,16.03205,1.669046304
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101304,DSP Short Term Fund - Regular Plan - Growth,28.98233864,12.02303295
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101314,Aditya Birla Sun Life Index Fund - Growth - Regular Plan,94.62277045,190.32979
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,101316,Aditya Birla Sun Life Savings Fund-Retail Growth,323.3347273,1751.638181
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,334.1538386,1870.442677
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101357,Franklin India Savings Fund - Growth Option,31.181125,15.21355567
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101373,Kotak Bond Short Term Plan-(Growth),31.95323182,15.9198639
Baroda Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,101408,BARODA LIQUID FUND- Regular Growth Option,2862.123186,100936.932
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101465,Principal Short Term Debt Fund- Growth Plan,29.111075,7.280851352
Tata Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,101491,Tata Young Citizen -Regular Plan-Growth,23.45741136,5.139058592
